display_name,week,week_start,week_end,week_low,week_high,week_avg
A50ETF,2026-16,2026-04-20,2026-04-22,1.382,1.397,1.39
A50ETF,2026-15,2026-04-13,2026-04-17,1.352,1.387,1.37
A50ETF,2026-14,2026-04-07,2026-04-10,1.289,1.351,1.33
A50ETF,2026-13,2026-03-30,2026-04-03,1.294,1.315,1.3
A50ETF,2026-12,2026-03-23,2026-03-27,1.281,1.31,1.3
A50ETF,2026-11,2026-03-16,2026-03-20,1.317,1.341,1.33
A50ETF,2026-10,2026-03-09,2026-03-13,1.312,1.346,1.33
A50ETF,2026-09,2026-03-02,2026-03-06,1.305,1.344,1.32
A50ETF,2026-08,2026-02-24,2026-02-27,1.34,1.358,1.35
A50ETF,2026-06,2026-02-09,2026-02-13,1.337,1.358,1.35
A50ETF,2026-05,2026-02-02,2026-02-06,1.316,1.35,1.34
A50ETF,2026-04,2026-01-26,2026-01-30,1.335,1.36,1.34
A50ETF,2026-03,2026-01-19,2026-01-23,1.331,1.354,1.34
A50ETF,2026-02,2026-01-12,2026-01-16,1.358,1.373,1.36
A50ETF,2026-01,2026-01-05,2026-01-09,1.368,1.393,1.38
A50ETF,2025-52,2025-12-29,2025-12-31,1.341,1.349,1.34
A50ETF,2025-51,2025-12-22,2025-12-26,1.341,1.355,1.35
A50ETF,2025-50,2025-12-15,2025-12-19,1.31,1.33,1.32
A50ETF,2025-49,2025-12-08,2025-12-12,1.321,1.341,1.33
A50ETF,2025-48,2025-12-01,2025-12-05,1.313,1.335,1.32
A50ETF,2025-47,2025-11-24,2025-11-28,1.297,1.312,1.31
A50ETF,2025-46,2025-11-17,2025-11-21,1.297,1.332,1.32
A50ETF,2025-45,2025-11-10,2025-11-14,1.338,1.36,1.35
A50ETF,2025-44,2025-11-03,2025-11-07,1.325,1.342,1.33
A50ETF,2025-43,2025-10-27,2025-10-31,1.342,1.364,1.35
A50ETF,2025-42,2025-10-20,2025-10-24,1.324,1.347,1.34
A50ETF,2025-41,2025-10-13,2025-10-17,1.321,1.348,1.34
A50ETF,2025-40,2025-10-09,2025-10-10,1.347,1.38,1.36
A50ETF,2025-39,2025-09-29,2025-09-30,1.35,1.356,1.35
A50ETF,2025-38,2025-09-22,2025-09-26,1.314,1.342,1.33
A50ETF,2025-37,2025-09-15,2025-09-19,1.306,1.324,1.31
A50ETF,2025-36,2025-09-08,2025-09-12,1.291,1.311,1.3
A50ETF,2025-35,2025-09-01,2025-09-05,1.268,1.298,1.29
